Timestamp	Your Name	Your personal website	Title	Authors	First author's last name	Year	URL	Download URL	Publication Details	Pages	Abstract	DOI	Context
05/04/2021 17:53:01	Adrian Freed	http://adrianfreed.com	A Low-level Embedded Service Architecture for Rapid DIY Design of Real-time  Musical Instruments	Schmeder, Andrew  , and Freed Adrian 	Schmeder	2009	http://www.adrianfreed.com/content/low-level-embedded-service-architecture-rapid-diy-design-real-time-musical-instruments		NIME 2009		 An on-the-fly reconfigurable low-level embedded service architecture is presented as a means to improve scalability, improve conceptual comprehensibility, reduce human error and reduce development time when designing new sensor-based electronic musical instruments with real-time responsiveness. The implementation of the concept in a project called micro-OSC is described. Other sensor interfacing products are evaluated in the context of DIY prototyping of musical instruments. The capabilities of the micro-OSC platform are demonstrated through a set of examples including  resistive sensing, mixed digital-analog systems, many-channel sensor interfaces and time-based measurement methods. 		Adrian Freed kindly provided a parseable collection of OSC-related papers from his website, ported to the new site by Matt Wright in May 2021
05/04/2021 17:53:01	Adrian Freed	http://adrianfreed.com	Implementation and Applications of Open Sound Control Timestamps	Schmeder, Andy  , and Freed Adrian 	Schmeder	2008	http://www.adrianfreed.com/content/implementation-and-applications-open-sound-control-timestamps		ICMC 2008		 The background, purpose, and function of Open Sound  Control (OSC) timestamps is reviewed. An analysis  shows that jitter-induced noise with dispersion over the  millisecond range significantly degrades real-time highresolution  sensor signal streams. The design of a  distributed clock synchronization and event scheduling  domain over an asynchronous network is described. A  realization of this model is presented, created using the  new micro-OSC (uOSC) hardware platform and host  software components in MaxMSP. An OSC address  schema for client-server clock synchronization is  documented. Two new objects for MaxMSP are  introduced: OSC-timetag and OSC-schedule. 		Adrian Freed kindly provided a parseable collection of OSC-related papers from his website, ported to the new site by Matt Wright in May 2021
05/04/2021 17:53:01	Adrian Freed	http://adrianfreed.com	uOSC: The Open Sound Control Reference Platform for Embedded Devices	Schmeder, Andy  , and Freed Adrian 	Schmeder	2008	http://www.adrianfreed.com/content/uosc-open-sound-control-reference-platform-embedded-devices		NIME		 A general-purpose firmware for a low-cost microcontroller is described that employs the Open Sound Control protocol over USB. The software is designed with considerations for integration in new musical interfaces and embedded devices. Features of note include stateless design, efficient floating-point support, temporally correct data handling, and protocol completeness. The hardware/software combination is compared to other solutions. A performance analysis is conducted to quantify the latency characteristics under realistic conditions. 		Adrian Freed kindly provided a parseable collection of OSC-related papers from his website, ported to the new site by Matt Wright in May 2021
05/04/2021 17:53:01	Adrian Freed	http://adrianfreed.com	Application of new Fiber and Malleable Materials for Agile Development of Augmented Instruments and Controllers	Freed, Adrian 	Freed	2008	http://www.adrianfreed.com/content/application-new-fiber-and-malleable-materials-agile-development-augmented-instruments-and-co		NIME 2008		 The paper introduces new fiber and malleable materials including piezoresistive fabric, conductive heat-shrink tubing and shows techniques and examples of how they may be used for rapid prototyping and agile develop of musical instrument controllers. New implementations of well-known designs are covered as well as enhancement of existing controllers. Finally two new controllers are introduced that are made possible by these recently available new materials and construction techniques 		Adrian Freed kindly provided a parseable collection of OSC-related papers from his website, ported to the new site by Matt Wright in May 2021
05/04/2021 17:53:02	Adrian Freed	http://adrianfreed.com	A Force Sensitive Multi-touch Array Supporting Multiple 2-D Musical Control Structures	Wessel, David  , Avizienis Rimas  , Freed Adrian  , and Wright Matthew 	Wessel	2007	http://www.adrianfreed.com/content/force-sensitive-multi-touch-array-supporting-multiple-2-d-musical-control-structures		New Interfaces for Musical Expression		We describe the design, implementation, and evaluation with real musical use of a force sensitive multi-touch array of touchpads.  Each of the touchpads supports a three dimensional representation of musical material: two spatial dimensions plus a force measurement we typically use to control dynamics.  Our system uses 24 pads laid out in a ?brick wall? style array that fits nicely under the two hands.  We emphasize the treatment of gestures as sub-sampled audio signals.  This tight coupling of gesture with audio provides for a high degree of control intimacy.		Adrian Freed kindly provided a parseable collection of OSC-related papers from his website, ported to the new site by Matt Wright in May 2021
05/04/2021 17:53:02	Adrian Freed	http://adrianfreed.com	Augmenting the Cello	Freed, Adrian  , Uitti Frances-Marie  , Wessel David  , and Zbyszynski Michael 	Freed	2006	http://www.adrianfreed.com/content/augmenting-cello		New Interfaces for Musical Expression		 Software and hardware enhancements to an electric 6-string cello are described with a focus on a new mechanical tuning device, a novel rotary sensor for bow interaction and control strategies to leverage a suite of polyphonic sound processing effects. 		Adrian Freed kindly provided a parseable collection of OSC-related papers from his website, ported to the new site by Matt Wright in May 2021
05/04/2021 17:53:02	Adrian Freed	http://adrianfreed.com	Beyond 0-5V: Expanding Sensor Integration Architectures	Freed, Adrian  , Avizienis Rimas  , and Wright Matthew 	Freed	2006	http://www.adrianfreed.com/content/beyond-0-5v-expanding-sensor-integration-architectures		New Interfaces for Musical Expression		 A new sensor integration system and its first incarnation is described. As well as supporting existing analog sensor arrays a new architecture allows for easy integration of the new generation of low-cost digital sensors used in computer music performance instruments and installation art. 		Adrian Freed kindly provided a parseable collection of OSC-related papers from his website, ported to the new site by Matt Wright in May 2021
05/04/2021 17:53:02	Adrian Freed	http://adrianfreed.com	Comparing Musical Control Structures and Signal Processing Strategies for the Augmented Cello and Guitar	Freed, Adrian  , Lee Ahm  , Schott John  , Uitti Frances-Marie  , Wright Matthew  , and Zbyszynski Michael 	Freed	2006	http://www.adrianfreed.com/content/comparing-musical-control-structures-and-signal-processing-strategies-augmented-cello-and-gu		International Computer Music Conference		 In this paper we examine the hardware (sensors and connectivity), physical performance (placement, sensor type, tactile feedback),  and musical performance (software development and control) concerns inherent to extending control to six-string chordophones in general, and specifically to the electric guitar (plucked) and electric cello (bowed). 		Adrian Freed kindly provided a parseable collection of OSC-related papers from his website, ported to the new site by Matt Wright in May 2021
05/04/2021 17:53:02	Adrian Freed	http://adrianfreed.com	Control of VST Plug-ins Using OSC	Zbyszynski, Michael  , and Freed Adrian 	Zbyszynski	2005	http://www.adrianfreed.com/content/control-vst-plug-ins-using-osc		International Computer Music Conference		 The basic control structure of VST audio plug-ins can limit their usefulness. Control can be improved through the use of Open Sound Control by developing a flexible name space that employs multiple, intuitive parameter names (and aliases), higher-level controls and range mapping, simplifying control for the user. We will demonstrate these ideas with Max/MSP patches that repackage VST plug-ins in a more usable way and also introduce the idea that plug-in interfaces themselves can be improved by building in a well-formed OSC name space. Such a name space would enhance the longevity and flexibility of finished musical works. We will also show that when the plug-in is controlled directly with OSC atomicity and queries, control could be further improved.in 		Adrian Freed kindly provided a parseable collection of OSC-related papers from his website, ported to the new site by Matt Wright in May 2021
05/04/2021 17:53:02	Adrian Freed	http://adrianfreed.com	OSC Control of VST Plug-ins	Freed, Adrian  , and Zbyszynski Michael 	Freed	2004	http://www.adrianfreed.com/content/osc-control-vst-plug-ins		Open Sound Control Conference		 The basic control structure of VST audio plug-ins can limit their usefulness. Control can be improved through the use of Open Sound Control by developing a flexible name space that employs multiple, intuitive parameter names (and aliases), higher-level controls and range mapping, simplifying control for the user. We will demonstrate these ideas with Max/MSP patches that repackage VST plug-ins in a more usable way and also introduce the idea that plug-in interfaces themselves can be improved by building in a well-formed OSC name space. Such a name space would enhance the longevity and flexibility of finished musical works.  We will also show that when the plug-in is controlled directly with OSC atomicity and queries, control could be further improved. 		Adrian Freed kindly provided a parseable collection of OSC-related papers from his website, ported to the new site by Matt Wright in May 2021
