Timestamp	Your Name	Your personal website	Title	Authors	First author's last name	Year	URL	Download URL	Publication Details	Pages	Abstract	DOI	Context
03/26/2021 17:03:29	Legacy	https://web.archive.org	Automated Testing of Open-Source Music Software with Open Sound World and Open Sound Control	Amar Chaudhary	Amar Chaudhary	2005		files/Automated_Testing_of_Open-Source_Music_Software_with_Open_Sound_World_and_Open_Sound_Control.pdf	ICMC 2005		Providing robust systems for live musical performance has been a difficult problem. Such systems are highly dynamic with lots of paths for execution; even small changes in input can lead to different results. Comprehensive testing is difficult, tedious and resource intensive, more so for opensource projects that often lack the resources to do such testing. We present a system for efficient automated testing of the Open Sound World (OSW) open-source music environment using OpenSound Control (OSC) messages sent from Python scripts. The automated testing system helped the developers to release a significantly more robust version of OSW in 2004, and is an important tool in the development of OSW 2.0. OSW supports VST and LADSPA plug-ins as is binary compatible with most Pd externals. Thus, the automated testing system in OSW can be used to test these external plug-ins as well.		This was a featured publication on the legacy (pre-2011) opensoundcontrol.org website, ported to the new site by Matt Wright in early 2021
03/26/2021 17:03:29	Legacy	https://web.archive.org	Best Practices for Open Sound Control	Andrew Schmeder, Adrian Freed, David Wessel	Schmeder	2010		files/osc-best-practices-final.pdf	Linux Audio Conference		The structure of the Open Sound Control (OSC) content format is introduced with historical context. The needs for temporal synchronization and dynamic range of audio control data are described in terms of accuracy, precision, bit-depth, bit-rate, and sampling frequency. Specific details are given for the case of instrumental gesture control, spatial audio control and synthesis algorithm control. The consideration of various transport mechanisms used with OSC is discussed for datagram, serial and isochronous modes. A summary of design approaches for describing audio control data is shown, and the case is argued that multi-layered information-rich representations that support multiple strategies for describing semantic structure are necessary.		This was a featured publication on the legacy (pre-2011) opensoundcontrol.org website, ported to the new site by Matt Wright in early 2021
03/26/2021 17:03:29	Legacy	https://web.archive.org	Bidirectional XML mapping	Ben Chun	Chun	2004			OSC Conference 2004		We present a standard for bidirectional mapping of arbitrary OSC packets to and from XML documents. Such a mapping is already in use as part of the \"flosc\" implementation of OSC for Macromedia Flash; the purpose of the standard is to ensure that future uses of XML to represent OSC data will be consistent and mutually compatible. The nested structure of OSC bundles containing OSC messages containing type-tagged arguments is represented naturally by nested XML tags, as in this example: \[XXX example omitted\]		This was a featured publication on the legacy (pre-2011) opensoundcontrol.org website, ported to the new site by Matt Wright in early 2021
03/26/2021 17:03:29	Legacy	https://web.archive.org	Brief Overview of OSC and its Application Areas	Matt Wright	Wright	2004		files/wright-welcome.pdf	OSC Conference 2004				This was a featured publication on the legacy (pre-2011) opensoundcontrol.org website, ported to the new site by Matt Wright in early 2021
03/26/2021 17:03:29	Legacy	https://web.archive.org	Clock Synchronization for Interactive Music Systems	Roger Dannenberg	Dannenberg	2004		files/dannenberg-clocksync.pdf	OSC Conference 2004		Timestamped events allow computer networks to avoid some of the problems of network latency. Events are computed and delivered early to compensate for latency. Events are then scheduled using timestamps to compensate for variations in latency. This model assumes significant network latency, yet it relies on accurate local clocks. The problem of clock synchronization is to maintain a shared notion of global time with only local clocks and normal network communication. I will describe the typical drift properties of computer clocks (including digital audio sample clocks) and then describe several clock synchronization systems. While clock synchronization can be a low-level operating system facility, it is not difficult to build an application-layer clock synchronization facility on top of a communication mechanism such as OSC. I will describe how clock synchronization is integrated with audio synthesis and event scheduling in Aura.		This was a featured publication on the legacy (pre-2011) opensoundcontrol.org website, ported to the new site by Matt Wright in early 2021
03/26/2021 17:03:29	Legacy	https://web.archive.org	Combining Audio And Gestures For A Real-Time Improviser	Roberto Morales-Mazanares, Eduardo Morales, David Wessel	Morales-Mazanares	2005	http://cnmat.berkeley.edu/publications/combining_audio_and_gestures_real_time_improviser	files/icmc05fin.pdf	International Computer Music Conference	813-816	Skilled improvisers are able to shape in real time a music discourse by continuously modulating pitch, rhythm, tempo and loudness to communicate high level information such as musical structures and emotion. Interaction between musicians, correspond to their cultural background, subjective reaction around the generated material and their capabilities to resolve in their own terms the aesthetics of the resultant pieces. In this paper we introduce GRI an environment, which incorporates music and movement gestures from an improviser to adquire precise data and react in a similar way as an improviser. GRI takes music samples from a particular improviser and learns a classifiers to identify different improvision styles. It then learns for each style a probabilistic transition automaton that considers gestures to predict the most probable next state of the musician. The current musical note, the predicted next state, and gesture information are used to produce adequate responses in real-time. The system is demonstrated with a flutist, with accelerometers and gyros to detect gestures with very promising results.		This was a featured publication on the legacy (pre-2011) opensoundcontrol.org website, ported to the new site by Matt Wright in early 2021
03/26/2021 17:03:29	Legacy	https://web.archive.org	Comparing Musical Control Structures and Signal Processing Strategies for the Augmented Cello and Guitar	Adrian Freed, Ahm Lee, John Schott, Frances-Marie Uitti, Matthew Wright, Michael Zbyszynski	Freed	2006	http://cnmat.berkeley.edu/publications/comparing_musical_control_structures_and_signal_processing_strategies_augmented_cello_and_guitar		International Computer Music Conference	636-642	In this paper we examine the hardware (sensors and connectivity), physical performance (placement, sensor type, tactile feedback), and musical performance (software development and control) concerns inherent to extending control to six-string chordophones in general, and specifically to the electric guitar (plucked) and electric cello (bowed).		This was a featured publication on the legacy (pre-2011) opensoundcontrol.org website, ported to the new site by Matt Wright in early 2021
03/26/2021 17:03:29	Legacy	https://web.archive.org	Control of VST Plug-ins Using OSC	Michael Zbyszynski, Adrian Freed	Zbyszynski	2005	http://cnmat.berkeley.edu/publications/control_vst_plug_ins_using_osc	files/zbyszynski_ICMC3.pdf	International Computer Music Conference	263-266	The basic control structure of VST audio plug-ins can limit their usefulness. Control can be improved through the use of Open Sound Control by developing a flexible name space that employs multiple, intuitive parameter names (and aliases), higher-level controls and range mapping, simplifying control for the user. We will demonstrate these ideas with Max/MSP patches that repackage VST plug-ins in a more usable way and also introduce the idea that plug-in interfaces themselves can be improved by building in a well-formed OSC name space. Such a name space would enhance the longevity and flexibility of finished musical works. We will also show that when the plug-in is controlled directly with OSC atomicity and queries, control could be further improved.in		This was a featured publication on the legacy (pre-2011) opensoundcontrol.org website, ported to the new site by Matt Wright in early 2021
03/26/2021 17:03:29	Legacy	https://web.archive.org	Discovering OSC services with ZeroConf	Chandrasekar Ramakrishnan	Ramakrishnan	2004	http://cnmat.berkeley.edu/publications/control_vst_plug_ins_using_osc	files/Rendezvous-OSC.pdf	OSC Conference 2004		ZeroConf/Rendezvous is a protocol for dynamic service discovery over a network, currently being standardized by the IETF. Through ZeroConf, applications and devices may communicate with each other without requiring prior manual configuration or setup. Music applications can take advantage of these capabilities to broadcast and discover the availability of services that communicate over OSC and, thereby, create ad-hoc music networks. Drawing on SuperCollider and Occam as examples, this talk will describe ZeroConf, discuss its benefits and use in the discovery of OSC services, and provide details and hints for programmers wishing to implement similar functionality in their own applications.		This was a featured publication on the legacy (pre-2011) opensoundcontrol.org website, ported to the new site by Matt Wright in early 2021
03/26/2021 17:03:29	Legacy	https://web.archive.org	Dynamic, Distributed and Automated Music Applications in Open Sound World	A Chaudhary	Chaudhary	2004	http://cnmat.berkeley.edu/publications/control_vst_plug_ins_using_osc		OSC Conference 2004		Open Sound World, or OSW, is a scalable, extensible programming environment that allows musicians, sound designers and researchers to process sound in response to expressive real-time control \[1\]. In OSW, components called transforms are combined to form programs called patches. Patches are themselves transforms that can be included in other patches. This gives rise to a hierarchical name space in which every transform has a unique address. This address can be used to send and receive OpenSound Control (OSC) messages to and from a transform. Additionally, the inlets, outlets and state variables (i.e., internal variables and parameters of a transform) are themselves named components with unique addresses. Thus an OSW program forms a complete OSC address space where any object (patch, transform, variable) can be queried inspected or modified using OSC messages. This presentation explores several applications that utilize OpenSound Control in OSW Discovery of OSW programs by generic clients: OSW includes a full implementation of OSC queries, which was largely the work of Andrew Schmeder at CNMAT \[3\]. Client programs can discover a running instance of an OSW by detecting a special â€œheartbeatâ€� message (i.e., similar to active sensing in MIDI), and then discover the dynamic address space of the OSW programs. The client can then use OSC to send any message understood by any of the objects in the OSW programs. Custom User Interfaces: The discovery/query system, as well as standard OSC messages can be used as a mechanism for inter-process communication between OSW and custom user interfaces. Such interfaces can be special front-ends for individual patches, or alternative user interfaces for building patches. We present specialized user interfaces as front-ends for patches that use the advanced synthesis capabilities of OSW. Distributed programs: In addition to communication between clients and servers, OSC can be used for peer communication among multiple instances of OSW. Such communication includes sending OSW time and signal data via OSC, allowing distributed synthesis and signal-processing on networked systems. Automated Testing: Building robust and reliable software is a challenging task, more so when the software must run on multiple platforms. For OSW, we have introduced a system of automated testing in which test cases are Python scripts that send and receive OSC messages that build, run, and inspect dynamically constructed patches. Using OpenSound Control as the â€œcommand languageâ€� for testing has allowed the rapid creation of test cases and uncovering of bugs that would otherwise be undetected until deployment. The test system as well as the fixes uncovered in the process will be part of the upcoming Open Sound World version 1.2 \[2\].		This was a featured publication on the legacy (pre-2011) opensoundcontrol.org website, ported to the new site by Matt Wright in early 2021
